Multi-Task Deep Model With Margin Ranking Loss for Lung Nodule Analysis,L. Liu; Q. Dou; H. Chen; J. Qin; P. -A. Heng,"Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong; Department of Computing, Imperial College London, London, U.K.; Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong; Centre for Smart Health, School of Nursing, The Hong Kong Polytechnic University, Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong",IEEE Transactions on Medical Imaging,3-Mar-20,2020,39,3,718,728,"Lung cancer is the leading cause of cancer deaths worldwide and early diagnosis of lung nodule is of great importance for therapeutic treatment and saving lives. Automated lung nodule analysis requires both accurate lung nodule benign-malignant classification and attribute score regression. However, this is quite challenging due to the considerable difficulty of lung nodule heterogeneity modeling and the limited discrimination capability on ambiguous cases. To solve these challenges, we propose a Multi-Task deep model with Margin Ranking loss (referred as MTMR-Net) for automated lung nodule analysis. Compared to existing methods which consider these two tasks separately, the relatedness between lung nodule classification and attribute score regression is explicitly explored in a cause-and-effect manner within our multi-task deep model, which can contribute to the performance gains of both tasks. The results of different tasks can be yielded simultaneously for assisting the radiologists in diagnosis interpretation. Furthermore, a Siamese network with a margin ranking loss is elaborately designed to enhance the discrimination capability on ambiguous nodule cases. To further explore the internal relationship between two tasks and validate the effectiveness of the proposed model, we use the recursive feature elimination method to iteratively rank the most malignancy-related features. We validate the efficacy of our method MTMR-Net on the public benchmark LIDC-IDRI dataset. Extensive experiments show that the diagnosis results with internal relationship explicitly explored in our model has met some similar patterns in clinical usage and also demonstrate that our approach can achieve competitive classification performance and more accurate scoring on attributes over the state-of-the-arts. Codes are publicly available at: https://github.com/CaptainWilliam/MTMR-NET.",1558-254X,,10.1109/TMI.2019.2934577,Innovation and Technology Commission(grant numbers:ITS/426/17FP); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794587,Lung nodule;benign-malignant diagnosis;attribute score regression;deep learning;multi-task,Lung;Feature extraction;Task analysis;Cancer;Solid modeling;Semantics;Analytical models,cancer;computerised tomography;feature extraction;image classification;lung;medical image processing;regression analysis,margin ranking loss;automated lung nodule analysis;lung nodule classification;score regression;multitask deep model;lung cancer;lung nodule heterogeneity modeling;lung nodule benign-malignant classification;LIDC-IDRI dataset,"Databases, Factual;Deep Learning;Humans;Image Processing, Computer-Assisted;Lung Neoplasms;Regression Analysis",28,,55,IEEE,12-Aug-19,,,IEEE,IEEE Journals
A 3-D Riesz-Covariance Texture Model for Prediction of Nodule Recurrence in Lung CT,P. Cirujeda; Y. D. Cid; H. Müller; D. Rubin; T. A. Aguilera; B. W. Loo; M. Diehn; X. Binefa; A. Depeursinge,"Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain; Institute of Information Systems, University of Applied Sciences Western Switzerland (HES-SO), Sierre, Switzerland; Institute of Information Systems, University of Applied Sciences Western Switzerland (HES-SO), Sierre, Switzerland; Department of Radiology and Medicine (Biomedical Informatics), Stanford University, Stanford, CA, USA; Department of Radiation Oncology and Stanford Cancer Institute, Stanford University School of Medicine, Stanford, CA, USA; Department of Radiation Oncology and Stanford Cancer Institute, Stanford University School of Medicine, Stanford, CA, USA; Department of Radiation Oncology and Stanford Cancer Institute, Stanford University School of Medicine, Stanford, CA, USA; Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain; Institute of Information Systems, University of Applied Sciences Western Switzerland (HES-SO), Sierre, Switzerland",IEEE Transactions on Medical Imaging,29-Nov-16,2016,35,12,2620,2630,"This paper proposes a novel imaging biomarker of lung cancer relapse from 3-D texture analysis of CT images. Three-dimensional morphological nodular tissue properties are described in terms of 3-D Riesz-wavelets. The responses of the latter are aggregated within nodular regions by means of feature covariances, which leverage rich intra- and inter-variations of the feature space dimensions. When compared to the classical use of the average for feature aggregation, feature covariances preserve spatial co-variations between features. The obtained Riesz-covariance descriptors lie on a manifold governed by Riemannian geometry allowing geodesic measurements and differentiations. The latter property is incorporated both into a kernel for support vector machines (SVM) and a manifold-aware sparse regularized classifier. The effectiveness of the presented models is evaluated on a dataset of 110 patients with non-small cell lung carcinoma (NSCLC) and cancer recurrence information. Disease recurrence within a timeframe of 12 months could be predicted with an accuracy of 81.3-82.7%. The anatomical location of recurrence could be discriminated between local, regional and distant failure with an accuracy of 78.3-93.3%. The obtained results open novel research perspectives by revealing the importance of the nodular regions used to build the predictive models.",1558-254X,,10.1109/TMI.2016.2591921,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung(grant numbers:PZ00P2_154891); Centre d'Imagerie BioMédicale; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7514934,Cancer recurrence;computer-aided diagnosis;lung computed tomography;radiomics;Riesz-covariance model;texture classification,Computed tomography;Cancer;Biomedical imaging;Lungs;Solids;Tumors,biological tissues;cancer;cellular biophysics;computerised tomography;image classification;image texture;lung;medical image processing;support vector machines,3D Riesz-covariance texture model;lung CT imaging;imaging biomarker;lung cancer;3D Riesz-wavelets;nodular regions;feature covariances;feature space dimensions;feature aggregation;Riemannian geometry;geodesic measurements;support vector machines;SVM;manifold-aware sparse regularized classifier;nonsmall cell lung carcinoma;cancer recurrence information;NSCLC;disease recurrence;predictive models,"Humans;Lung Neoplasms;Neoplasm Recurrence, Local;Support Vector Machine;Tomography, X-Ray Computed",25,,52,IEEE,18-Jul-16,,,IEEE,IEEE Journals
A Solitary Feature-Based Lung Nodule Detection Approach for Chest X-Ray Radiographs,X. Li; L. Shen; S. Luo,"College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; School of Electrical Engineering and Computing, The University of Newcastle, Callaghan, NSW, Australia",IEEE Journal of Biomedical and Health Informatics,5-Mar-18,2018,22,2,516,524,"Lung cancer is one of the most deadly diseases. It has a high death rate and its incidence rate has been increasing all over the world. Lung cancer appears as a solitary nodule in chest x-ray radiograph (CXR). Therefore, lung nodule detection in CXR could have a significant impact on early detection of lung cancer. Radiologists define a lung nodule in CXR as “solitary white nodule-like blob.” However, the solitary feature has not been employed for lung nodule detection before. In this paper, a solitary feature-based lung nodule detection method was proposed. We employed stationary wavelet transform and convergence index filter to extract the texture features and used AdaBoost to generate white nodule-likeness map. A solitary feature was defined to evaluate the isolation degree of candidates. Both the isolation degree and the white nodule likeness were used as final evaluation of lung nodule candidates. The proposed method shows better performance and robustness than those reported in previous research. More than 80% and 93% of lung nodules in the lung field in the Japanese Society of Radiological Technology (JSRT) database were detected when the false positives per image were two and five, respectively. The proposed approach has the potential of being used in clinical practice.",2168-2208,,10.1109/JBHI.2017.2661805,National Natural Science Foundation of China(grant numbers:61672357); Science Foundation of Guangdong Province(grant numbers:2014A030313556); Science Foundation of Shenzhen(grant numbers:JCYJ20160422144110140); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7837683,AdaBoost;computer-aided detection;lung nodule detection;solitary-feature;x-ray radiograph,Lungs;Feature extraction;Cancer;Sensitivity;Diagnostic radiography;Transforms;Computed tomography,cancer;diagnostic radiography;feature extraction;image filtering;image texture;learning (artificial intelligence);lung;medical image processing;wavelet transforms,solitary feature;lung nodule detection approach;chest x-ray radiograph;lung cancer;solitary nodule;solitary white nodule-like blob;texture features;white nodule-likeness map;lung nodule candidates;lung field;diseases;stationary wavelet transform;convergence index filter;AdaBoost,"Algorithms;Humans;Lung;Lung Neoplasms;Radiographic Image Interpretation, Computer-Assisted;Tomography, X-Ray Computed",20,,36,IEEE,31-Jan-17,,,IEEE,IEEE Journals
Ensemble Learners of Multiple Deep CNNs for Pulmonary Nodules Classification Using CT Images,B. Zhang; S. Qi; P. Monkam; C. Li; F. Yang; Y. -D. Yao; W. Qian,"Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; College of Engineering, University of Texas at El Paso, El Paso, TX, USA",IEEE Access,19-Aug-19,2019,7,,110358,110371,"Various deep convolutional neural networks (CNNs) have been used to distinguish between benign and malignant pulmonary nodules using CT images. However, single learner usually presents unsatisfied performance due to limited hypothesis space, or falling into local minima, or wrong selection of hypothesis space. To tackle these issues, we propose to build ensemble learners through fusing multiple deep CNN learners for pulmonary nodules classification. CT image patches of 743 nodules are extracted from LIDC-IDRI database and utilized. First, eight deep CNN learners with different architectures are trained and evaluated by 10-fold cross-validation. Each nodule has eight predictions from the eight primary learners. Second, we fuse these eight predictions by the strategies of majority voting (VOT), averaging (AVE), or machine learning. Specifically, different machine learning algorithms including K-Nearest-Neighbor (KNN), Support Vector Machines (SVM), Naive Bayes (NB), Decision Trees (DT), Multi-layer Perceptron (MLP), Random Forests (RF), Gradient Boosting Regression Trees (GBRT) and Adaptive Boosting (AdaBoost) are implemented. Moreover, the correlation coefficients between the predictions of 10 ensemble learners are calculated, and the hierarchical clustering dendrogram is drawn. It is found that the ensemble learners achieve higher prediction accuracy (84.0% vs 81.7%) than single CNN learner. The overlap ratio among the 10 ensemble learners is much higher than that of the 8 primary learners (62.9% vs 33.2%). In addition, it is shown that ensemble learners are roughly divided into three categories: the first (SVM, MLP, GBRT and RF) achieves the best performance; the second (VOT and AVE) is better than the third (AdaBoost, DT, NB and KNN). VOT and AVE yield higher recall than the machine learning algorithms. These results indicate that ensemble learners based on multiple CNN learners can achieve better performances for pulmonary nodules classification using CT images and that preferred fusion strategies include SVM, MLP, GBRT and RF.",2169-3536,,10.1109/ACCESS.2019.2933670,"National Natural Science Foundation of China(grant numbers:81671773,61672146); Fundamental Research Funds for the Central Universities(grant numbers:N172008008,N180719020); Open Program of Neusoft Research of Intelligent Healthcare Technology Company Ltd.(grant numbers:NRIHTOP1803); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8790699,Lung cancer;pulmonary nodules;CT;machine learning;ensemble learning;convolutional neural networks,Computed tomography;Feature extraction;Cancer;Computer architecture;Lung;Support vector machines;Biomedical imaging,computerised tomography;convolutional neural nets;decision trees;feature extraction;gradient methods;image classification;learning (artificial intelligence);lung;medical image processing;multilayer perceptrons;recurrent neural nets;regression analysis;support vector machines,pulmonary nodules classification;CT images;benign nodules;malignant pulmonary nodules;multiple deep CNN learners;single CNN learner;ensemble learners;k-nearest-neighbor;support vector machines;naive Bayes;decision trees;multilayer perceptron;random forests;gradient boosting regression trees;adaptive boosting;hierarchical clustering dendrogram,,20,,51,CCBY,7-Aug-19,,,IEEE,IEEE Journals
Mask R-CNN-Based Detection and Segmentation for Pulmonary Nodule 3D Visualization Diagnosis,L. Cai; T. Long; Y. Dai; Y. Huang,"Key Laboratory of Industrial Internet of Things and Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China; Key Laboratory of Industrial Internet of Things and Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China; Key Laboratory of Industrial Internet of Things and Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China; Key Laboratory of Industrial Internet of Things and Networked Control, Ministry of Education, Chongqing University of Posts and Telecommunications, Chongqing, China",IEEE Access,10-Mar-20,2020,8,,44400,44409,"3D visualization diagnosis for pulmonary nodule detection and segmentation is becoming a promising topic in the field of surgical researches and applications. Aiming at assisting radiologists to diagnose pulmonary nodules more accurately, the methods of detection and segmentation for pulmonary nodule 3D visualization diagnosis were proposed based on Mask Region-Convolutional Neural Network (Mask R-CNN) and ray-casting volume rendering algorithm. The Mask R-CNN used resnet50 as the backbone and applied Feature Pyramid Network (FPN) to fully explore multiscale feature maps. And then, Region Proposal Network (RPN) was used to propose candidate bounding boxes. Furthermore, the mask matrices and the raw medical image sequences were multiplied to obtain sequences of predicted pulmonary nodules. Finally, ray-casting volume rendering algorithm was applied to generate the 3D models of pulmonary nodules. The proposed methods are tested and evaluated on publicly available LUNA16 dataset and the independent dataset from Ali TianChi challenge. Experimental results show that Mask R-CNN of weighted loss reaches sensitivities of 88.1% and 88.7% at 1 and 4 false positives per scan, respectively. Meanwhile, we can obtain AP@50 score of 0.882 using Mask R-CNN with weighted loss on labelme_LUNA16 dataset, which outperforms many existing state-of-the-art approaches of detection and segmentation of pulmonary nodules.",2169-3536,,10.1109/ACCESS.2020.2976432,National Basic Research Program of China (973 Program)(grant numbers:2017YFE0123000); Chongqing Graduate Student Research Innovation Project(grant numbers:CYS19273); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9016227,Pulmonary nodule;detection and segmentation;deep learning;ray-casting rendering,Three-dimensional displays;Feature extraction;Lung;Image segmentation;Medical diagnostic imaging;Cancer,convolutional neural nets;data visualisation;feature extraction;image segmentation;image sequences;lung;medical image processing;rendering (computer graphics),pulmonary nodule 3D visualization diagnosis;mask region-convolutional neural network;feature pyramid network;region proposal network;mask matrices;ray-casting volume rendering algorithm;pulmonary nodule detection;mask R-CNN-based detection;mask R-CNN-based segmentation;medical image sequences,,20,,26,CCBY,27-Feb-20,,,IEEE,IEEE Journals
A Two-Stage Convolutional Neural Networks for Lung Nodule Detection,H. Cao; H. Liu; E. Song; G. Ma; X. Xu; R. Jin; T. Liu; C. -C. Hung,"Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Biomedical Imaging and Bioinformatics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Center for Machine Vision and Security Research, Kennesaw State University, Marietta, MA, USA",IEEE Journal of Biomedical and Health Informatics,1-Jul-20,2020,24,7,2006,2015,"Early detection of lung cancer is an effective way to improve the survival rate of patients. It is a critical step to have accurate detection of lung nodules in computed tomography (CT) images for the diagnosis of lung cancer. However, due to the heterogeneity of the lung nodules and the complexity of the surrounding environment, it is a challenge to develop a robust nodule detection method. In this study, we propose a two-stage convolutional neural networks (TSCNN) for lung nodule detection. The first stage based on the improved U-Net segmentation network is to establish an initial detection of lung nodules. During this stage, in order to obtain a high recall rate without introducing excessive false positive nodules, we propose a new sampling strategy for training. Simultaneously, a two-phase prediction method is also proposed in this stage. The second stage in the TSCNN architecture based on the proposed dual pooling structure is built into three 3D-CNN classification networks for false positive reduction. Since the network training requires a significant amount of training data, we designed a random mask as the data augmentation method in this study. Furthermore, we have improved the generalization ability of the false positive reduction model by means of ensemble learning. We verified the proposed architecture on the LUNA dataset in our experiments, which showed that the proposed TSCNN architecture did obtain competitive detection performance.",2168-2208,,10.1109/JBHI.2019.2963720,National Key Research and Development Program of China Stem Cell and Translational Research(grant numbers:2017YFC0112804); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949521,Computer-aided diagnosis;ensemble learning;lung nodule detection;U-Net;3D-CNN,Lung;Computed tomography;Training;Clustering algorithms;Convolutional neural networks;Lung cancer;Prediction methods,cancer;computerised tomography;convolutional neural nets;image classification;image segmentation;learning (artificial intelligence);lung;medical image processing,ensemble learning;data augmentation;false positive reduction;dual pooling structure;network training;3D-CNN classification networks;TSCNN;false positive nodules;U-net segmentation network;computed tomography images;lung cancer;lung nodule detection;two-stage convolutional neural networks,"Humans;Imaging, Three-Dimensional;Lung Neoplasms;Neural Networks, Computer;Radiographic Image Interpretation, Computer-Assisted;Tomography, X-Ray Computed",18,,53,IEEE,3-Jan-20,,,IEEE,IEEE Journals
Low-Dose Lung CT Image Restoration Using Adaptive Prior Features From Full-Dose Training Database,Y. Zhang; J. Rong; H. Lu; Y. Xing; J. Meng,"School of Biomedical Engineering, Fourth Military Medical University, Xi’an, China; School of Biomedical Engineering, Fourth Military Medical University, Xi’an, China; School of Biomedical Engineering, Fourth Military Medical University, Xi’an, China; Department of Engineering Physics, Tsinghua University, Beijing, China; School of Information Science and Engineering, Qufu Normal University, Rizhao, China",IEEE Transactions on Medical Imaging,29-Nov-17,2017,36,12,2510,2523,"The valuable structure features in full-dose computed tomography (FdCT) scans can be exploited as prior knowledge for low-dose CT (LdCT) imaging. However, lacking the capability to represent local characteristics of interested structures of the LdCT image adaptively may result in poor preservation of details/textures in LdCT image. This paper aims to explore a novel prior knowledge retrieval and representation paradigm, called adaptive prior features assisted restoration algorithm, for the purpose of better restoration of the low-dose lung CT images by capturing local features from FdCT scans adaptively. The innovation lies in the construction of an offline training database and the online patch-search scheme integrated with the principal components analysis (PCA). Specifically, the offline training database is composed of 3-D patch samples extracted from existing full-dose lung scans. For online patch-search, 3-D patches with structure similar to the noisy target patch are first selected from the database as the training samples. Then, PCA is applied on the training samples to retrieve their local prior principal features adaptively. By employing the principal features to decompose the noisy target patch and using an adaptive coefficient shrinkage technique for inverse transformation, the noise of the target patch can be efficiently removed and the detailed texture can be well preserved. The effectiveness of the proposed algorithm was validated by CT scans of patients with lung cancer. The results show that it can achieve a noticeable gain over some state-of-the-art methods in terms of noise suppression and details/textures preservation.",1558-254X,,10.1109/TMI.2017.2757035,"National Key Research and Development Program of China(grant numbers:2017YFC0107400); China Postdoctoral Science Foundation(grant numbers:2017M613348); National Natural Science Foundation of China(grant numbers:61572283,81230035,11275104); Award Foundation Project of Excellent Young Scientists in Shandong Province(grant numbers:BS2014DX005); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8052146,Low-dose CT;lung CT imaging;restoration;prior features;principal component analysis (PCA),Training;Databases;Computed tomography;Image restoration;Lungs;Principal component analysis;Three-dimensional displays,cancer;computerised tomography;feature extraction;image capture;image restoration;image retrieval;lung;medical image processing;principal component analysis,low-dose lung CT image restoration;adaptive prior features;full-dose training database;full-dose computed tomography scans;adaptive prior feature assisted restoration algorithm;online patch-search scheme;principal components analysis;3D patch sample extraction;adaptive coefficient shrinkage technique;lung cancer;inverse transformation,"Algorithms;Databases, Factual;Humans;Imaging, Three-Dimensional;Lung;Lung Neoplasms;Machine Learning;Phantoms, Imaging;Principal Component Analysis;Radiation Dosage;Radiographic Image Interpretation, Computer-Assisted;Tomography, X-Ray Computed",18,,37,IEEE,27-Sep-17,,,IEEE,IEEE Journals
3-D Lung Segmentation by Incremental Constrained Nonnegative Matrix Factorization,E. Hosseini-Asl; J. M. Zurada; G. Gimel’farb; A. El-Baz,"Department of Electrical and Computer Engineering, University of Louisville; Department of Electrical and Computer Engineering, University of Louisville, Louisville, KY, USA; Department of Computer Science, University of Auckland; Bioengineering Department, University of Louisville",IEEE Transactions on Biomedical Engineering,20-Apr-16,2016,63,5,952,963,"Accurate lung segmentation from large-size 3-D chest-computed tomography images is crucial for computer-assisted cancer diagnostics. To efficiently segment a 3-D lung, we extract voxel-wise features of spatial image contexts by unsupervised learning with a proposed incremental constrained nonnegative matrix factorization (ICNMF). The method applies smoothness constraints to learn the features, which are more robust to lung tissue inhomogeneities, and thus, help to better segment internal lung pathologies than the known state-of-the-art techniques. Compared to the latter, the ICNMF depends less on the domain expert knowledge and is more easily tuned due to only a few control parameters. Also, the proposed slice-wise incremental learning with due regard for interslice signal dependencies decreases the computational complexity of the NMF-based segmentation and is scalable to very large 3-D lung images. The method is quantitatively validated on simulated realistic lung phantoms that mimic different lung pathologies (seven datasets), in vivo datasets for 17 subjects, and 55 datasets from the Lobe and Lung Analysis 2011 (LOLA11) study. For the in vivo data, the accuracy of our segmentation w.r.t. the ground truth is 0.96 by the Dice similarity coefficient, 9.0 mm by the modified Hausdorff distance, and 0.87% by the absolute lung volume difference, which is significantly better than for the NMF-based segmentation. In spite of not being designed for lungs with severe pathologies and of no agreement between radiologists on the ground truth in such cases, the ICNMF with its total accuracy of 0.965 was ranked fifth among all others in the LOLA11. After excluding the nine too pathological cases from the LOLA11 dataset, the ICNMF accuracy increased to 0.986.",1558-2531,,10.1109/TBME.2015.2482387,Research Scholar(grant numbers:120556-RSG-11-266-01-CCE); American Cancer Society; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7277016,Constrained nonnegative matrix factorization;incremental learning;lung segmentation;Constrained nonnegative matrix factorization;incremental learning;lung segmentation,Lungs;Image segmentation;Three-dimensional displays;Context;Computed tomography;Feature extraction;Image reconstruction,cancer;computerised tomography;feature extraction;image segmentation;lung;matrix decomposition;medical image processing;phantoms;tumours;unsupervised learning,3D lung segmentation;incremental constrained nonnegative matrix factorization;large-size 3D chest-computed tomography images;computer-assisted cancer diagnostics;voxel-wise feature extraction;spatial image contexts;unsupervised learning;smoothness constraints;lung tissue inhomogeneities;internal lung pathologies;domain expert knowledge;slice-wise incremental learning;interslice signal dependencies;computational complexity;NMF-based segmentation;simulated realistic lung phantoms;in vivo datasets;Lobe-and-Lung Analysis 2011;Dice similarity coefficient;modified Hausdorff distance;absolute lung volume difference;radiologists;ICNMF accuracy,"Algorithms;Databases, Factual;Humans;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Lung;Lung Neoplasms",17,,45,IEEE,25-Sep-15,,,IEEE,IEEE Journals
Analyzing the Dynamics of Lung Cancer Imaging Data Using Refined Fuzzy Entropy Methods by Extracting Different Features,L. Hussain; W. Aziz; A. A. Alshdadi; M. S. Ahmed Nadeem; I. R. Khan; Q. -U. -A. Chaudhry,"Department of Computer Science and IT, The University of Azad Jammu and Kashmir, City Campus, Muzaffarabad, Pakistan; Department of Computer Science and IT, The University of Azad Jammu and Kashmir, City Campus, Muzaffarabad, Pakistan; College of Computer Sciences and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Computer Science and IT, The University of Azad Jammu and Kashmir, City Campus, Muzaffarabad, Pakistan; College of Computer Sciences and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Computer Science and IT, The University of Azad Jammu and Kashmir, City Campus, Muzaffarabad, Pakistan",IEEE Access,30-May-19,2019,7,,64704,64721,"Lung cancer is the major cause of cancer-related deaths worldwide with poor survival due to the poor diagnostic system at the advanced cancer stage. In the past, researchers developed computer-aided diagnosis (CAD) systems, which were greatly used by the radiologist for identifying the abnormalities and applied few features extracting methods. The physiology and behavior of various physiological systems can be best investigated using nonlinear dynamical measures for capturing the intrinsic dynamics, which is influenced due to multiple pathologies by the degradation of structural and functional components. As cancer images contain hidden information, which can be best analyzed using these dynamical measures. In this paper, we proposed multiscale sample entropy (MSE) with a mean and KD-tree algorithmic approach, multiscale permutation entropy (MPE), multiscale fuzzy entropy (MFE), and refined composite multiscale fuzzy entropy (RCMFE) with mean, variance, and standard deviation. The statistically significant results were computed to distinguish non-small-cell lung cancer (NSCLC) from SCLC by extracting morphological, texture, and elliptic Fourier descriptors (EFDs). The highest significant results obtained based on texture features using MFE with standard deviation give the P-value of 1.95E-50, morphological features using RCMFE with mean provide the P-value of 3.01E-14, and EFDs features using MFE with variance give the P-value of 1.04E-13. The results reveal that the improved complexity measures based on refined fuzzy entropy outperformed in analyzing the dynamics of lung cancer and will provide a new insight into extract meaningful hidden information present in the Lung cancer images, which will be very helpful to further distinguish NSCLC and SCLC for early diagnosis and prognosis.",2169-3536,,10.1109/ACCESS.2019.2917303,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8716659,Non small cell lung cancer (NSCLC);small cell lung cancer (SCLC);texture;morphological;multiscale fuzzy entropy (MFE);refined composite multiscale fuzzy entropy (RCMFE),Cancer;Lung;Feature extraction;Entropy;Physiology;Complexity theory;Shape,cancer;entropy;feature extraction;fuzzy set theory;image texture;lung;medical image processing;patient diagnosis;physiology;tumours,refined fuzzy entropy methods;cancer-related deaths;poor diagnostic system;physiology;nonlinear dynamical measures;structural components;functional components;multiscale sample entropy;refined composite multiscale fuzzy entropy;P-value;feature extraction;computer-aided diagnosis systems;RCMFE;lung cancer imaging data;KD-tree algorithmic approach,,16,,119,OAPA,16-May-19,,,IEEE,IEEE Journals
Multi-Branch Ensemble Learning Architecture Based on 3D CNN for False Positive Reduction in Lung Nodule Detection,H. Cao; H. Liu; E. Song; G. Ma; X. Xu; R. Jin; T. Liu; C. -C. Hung,"School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Laboratory for Machine Vision and Security Research, Kennesaw State University, Kennesaw, GA, USA",IEEE Access,4-Jun-19,2019,7,,67380,67391,"It is critical to have accurate detection of lung nodules in CT images for the early diagnosis of lung cancer. In order to achieve this, it is necessary to reduce the false positive rate of detection. Due to the heterogeneity of lung nodules and their similarity to the background, it is difficult to distinguish true lung nodules from numerous candidate nodules. In this paper, in order to solve this challenging problem, we propose a Multi-Branch Ensemble Learning architecture based on the three-dimensional (3D) convolutional neural networks (MBEL-3D-CNN). The method combines three key ideas: 1) constructing a 3D-CNN to make the maximum utilization of spatial information of lung nodules in the 3D space; 2) embedding a multi-branch network architecture in the 3D-CNN that is well adapted to the heterogeneity of lung nodules, and; 3) using ensemble learning to effectively improve the generalization performance of the 3D-CNN model. In addition, we use offline hard mining operations to make the network capable of handling those indistinguishable positive and negative samples. The proposed method was tested on the dataset LUNA16 in our experiments. The experimental results show that MBEL-3D-CNN architecture can achieve better screening results.",2169-3536,,10.1109/ACCESS.2019.2906116,National Key R&D Program of China(grant numbers:2017YFC0112804); National Natural Science Foundation of China(grant numbers:81671768); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669681,Computer-aided diagnosis;ensemble learning;false positive reduction;offline hard mining;3D CNN,Lung;Three-dimensional displays;Feature extraction;Computed tomography;Cancer;Two dimensional displays;Solid modeling,cancer;computerised tomography;data mining;image classification;learning (artificial intelligence);lung;medical image processing,3D CNN;lung nodule detection;lung nodules;lung cancer;three-dimensional convolutional neural networks;multibranch network architecture;3D-CNN model;MBEL-3D-CNN architecture;multibranch ensemble learning architecture;CT images;offline hard mining operations;LUNA16 dataset;spatial information,,15,,51,OAPA,19-Mar-19,,,IEEE,IEEE Journals
