,,,,,,scopus papers,,,,,,,,,,,,,,,
"Masud M., Sikder N., Nahid A.-A., Bairagi A.K., Alzain M.A.",A machine learning approach to diagnosing lung and colon cancer using a deep learning‐based classification framework,2021,Sensors (Switzerland),21,3,748,1,21,29,10.3390/s21030748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099707000&doi=10.3390%2fs21030748&partnerID=40&md5=063dd739168ecb0da0c76a9c778f2f05,"Department of Computer Science, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Computer Science and Engineering Discipline, Khulna University, Khulna, 9208, Bangladesh; Electronics and Communication Engineering Discipline, Khulna University, Khulna, 9208, Bangladesh; Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia","Masud, M., Department of Computer Science, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Sikder, N., Computer Science and Engineering Discipline, Khulna University, Khulna, 9208, Bangladesh; Nahid, A.-A., Electronics and Communication Engineering Discipline, Khulna University, Khulna, 9208, Bangladesh; Bairagi, A.K., Computer Science and Engineering Discipline, Khulna University, Khulna, 9208, Bangladesh; Alzain, M.A., Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia","Accurate segmentation of lung cancer in pathology slides is a critical step in improving patient care. We proposed the ACDC@LungHP (Automatic Cancer Detection and Classification in Whole-slide Lung Histopathology) challenge for evaluating different computer-aided diagnosis (CADs) methods on the automatic diagnosis of lung cancer. The ACDC@LungHP 2019 focused on segmentation (pixel-wise detection) of cancer tissue in whole slide imaging (WSI), using an annotated dataset of 150 training images and 50 test images from 200 patients. This paper reviews this challenge and summarizes the top 10 submitted methods for lung cancer segmentation. All methods were evaluated using metrics using the precision, accuracy, sensitivity, specificity, and DICE coefficient (DC). The DC ranged from 0.7354pm0.1149 to 0.8372pm0.0858. The DC of the best method was close to the inter-observer agreement (0.8398pm0.0890). All methods were based on deep learning and categorized into two groups: multi-model method and single model method. In general, multi-model methods were significantly better (p< 0.01) than single model methods, with mean DC of 0.7966 and 0.7544, respectively. Deep learning based methods could potentially help pathologists find suspicious regions for further analysis of lung cancer in WSI. © 2013 IEEE.",Colon cancer detection; Deep learning; Histopathological image analysis; Image classification; Lung cancer detection,Biological organs; Diagnosis; Diseases; Histology; Image processing; Tissue; Turing machines; Cancer diagnosis; Classification framework; Digital image processing (DIP); Histopathological images; Machine learning approaches; Medical professionals; Novel diagnostics; Reliable systems; Deep learning; artificial intelligence; colon tumor; human; lung; lung tumor; machine learning; Artificial Intelligence; Colonic Neoplasms; Deep Learning; Humans; Lung; Lung Neoplasms; Machine Learning,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85099707000
"Lu C., Koyuncu C., Corredor G., Prasanna P., Leo P., Wang X., Janowczyk A., Bera K., Lewis J., Jr., Velcheti V., Madabhushi A.",Feature-driven local cell graph (FLocK): New computational pathology-based descriptors for prognosis of lung cancer and HPV status of oropharyngeal cancers,2021,Medical Image Analysis,68,,101903,,,15,10.1016/j.media.2020.101903,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098464999&doi=10.1016%2fj.media.2020.101903&partnerID=40&md5=c0f21cc36ea7e950839d7f1a6fbb275c,"Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Department of Biomedical Informatics, Stony Brook University, New York, NY, United States; Precision Oncology Center, Lausanne University Hospital, Switzerland; Department of Pathology, Microbiology, and Immunology, Vanderbilt University Medical Center, Nashville, TN, United States; Perlmutter Cancer Center, New York UniversityNY, United States; Louis Stokes Cleveland Veterans Administration Medical Center, Cleveland, OH, United States","Lu, C., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Koyuncu, C., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Corredor, G., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Prasanna, P., Department of Biomedical Informatics, Stony Brook University, New York, NY, United States; Leo, P., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Wang, X., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Janowczyk, A., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States, Precision Oncology Center, Lausanne University Hospital, Switzerland; Bera, K., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States; Lewis, J., Jr., Department of Pathology, Microbiology, and Immunology, Vanderbilt University Medical Center, Nashville, TN, United States; Velcheti, V., Perlmutter Cancer Center, New York UniversityNY, United States; Madabhushi, A., Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, United States, Louis Stokes Cleveland Veterans Administration Medical Center, Cleveland, OH, United States","Pulmonary cancer is one of the most dangerous cancers with a high incidence and mortality. An early accurate diagnosis and treatment of pulmonary cancer can observably increase the survival rates, where computer-aided diagnosis systems can largely improve the efficiency of radiologists. In this article, we propose a deep automated lung nodule diagnosis system based on three-dimensional convolutional neural network (3D-CNN) and support vector machine (SVM) with multiple kernel learning (MKL) algorithms. The system not only explores the computed tomography (CT) scans, but also the clinical information of patients like age, smoking history and cancer history. To extract deeper image features, a 34-layers 3D Residual Network (3D-ResNet) is employed. Heterogeneous features including the extracted image features and the clinical data are learned with MKL. The experimental results prove the effectiveness of the proposed image feature extractor and the combination of heterogeneous features in the task of lung nodule diagnosis. © 1983-2012 IEEE.",Feature extraction; Histology image analysis; Lung cancer; Oropharyngeal cancer,"Biological organs; Clustering algorithms; Cytology; Deep learning; Diagnosis; Diseases; Graphic methods; Textures; Tumors; 10-fold cross-validation; Human papillomavirus; Learning classifiers; Linear discriminant classifier; Non small cell lung cancer; Oropharyngeal cancer; Spatial arrangements; Squamous cell carcinoma; Cells; area under the curve; Article; cancer prognosis; cancer survival; computer analysis; controlled study; cross validation; deep learning; feature driven local cell graph; feature extraction; human; long term survival; major clinical study; measurement accuracy; metric system; morphometry; non small cell lung cancer; nuclear shape; oropharynx squamous cell carcinoma; overall survival; priority journal; sensitivity and specificity; short term survival; treatment outcome; Wart virus; Alphapapillomavirus; diagnostic imaging; lung tumor; oropharynx tumor; Papillomaviridae; papillomavirus infection; prognosis; Alphapapillomavirus; Carcinoma, Non-Small-Cell Lung; Humans; Lung Neoplasms; Oropharyngeal Neoplasms; Papillomaviridae; Papillomavirus Infections; Prognosis",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85098464999
"Pabón O.S., Torrente M., Provencio M., Rodríguez-Gonzalez A., Menasalvas E.",Integrating speculation detection and deep learning to extract lung cancer diagnosis from clinical notes,2021,Applied Sciences (Switzerland),11,2,865,1,21,4,10.3390/app11020865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099855164&doi=10.3390%2fapp11020865&partnerID=40&md5=322febd63241cd49d0b05fa489f49517,"Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Pozuelo de Alarcón, Madrid, 28223, Spain; Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Madrid, 28660, Spain; Hospital Universitario Puerta de Hierro, Majadahonda, Madrid, 28222, Spain","Pabón, O.S., Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Pozuelo de Alarcón, Madrid, 28223, Spain, Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Madrid, 28660, Spain; Torrente, M., Hospital Universitario Puerta de Hierro, Majadahonda, Madrid, 28222, Spain; Provencio, M., Hospital Universitario Puerta de Hierro, Majadahonda, Madrid, 28222, Spain; Rodríguez-Gonzalez, A., Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Pozuelo de Alarcón, Madrid, 28223, Spain, Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Madrid, 28660, Spain; Menasalvas, E., Centro de Tecnología Biomédica, Universidad Politécnica de Madrid, Pozuelo de Alarcón, Madrid, 28223, Spain, Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Madrid, 28660, Spain","Cancer is the leading cause of death worldwide. Lung cancer, especially, caused the most death in 2018 according to the World Health Organization. Early diagnosis and treatment can considerably reduce mortality. To provide an efficient diagnosis, deep learning is overtaking conventional machine learning techniques and is increasingly being used in computer-aided design systems. However, a sparse medical data set and network parameter tuning process cause network training difficulty and cost longer experimental time. In the present study, the generative adversarial network was proposed to generate computed tomography images of lung tumors for alleviating the problem of sparse data. Furthermore, a parameter optimization method was proposed not only to improve the accuracy of lung tumor classification, but also reduce the experimental time. The experimental results revealed that the average accuracy can reach 99.86% after image augmentation and parameter optimization. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Deep learning; Diagnosis extraction; Information extraction; Lung cancer; Natural Language Processing (NLP); Negation detection; Speculation detection,,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85099855164
"Jang H.-J., Song I.H., Lee S.H.",Generalizability of deep learning system for the pathologic diagnosis of various cancers,2021,Applied Sciences (Switzerland),11,2,808,1,11,6,10.3390/app11020808,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099822099&doi=10.3390%2fapp11020808&partnerID=40&md5=55ba8f9aa36ad029ae6abc0ab2be9022,"Catholic Big Data Integration Center, Department of Physiology, College of Medicine, The Catholic University of Korea, 222 Banpodae-ro, Seocho-gu, Seoul, 06591, South Korea; Department of Hospital Pathology, Seoul St. Mary’s Hospital, College of Medicine, The Catholic University of Korea, 222 Banpodae-ro, Seocho-gu, Seoul, 06591, South Korea","Jang, H.-J., Catholic Big Data Integration Center, Department of Physiology, College of Medicine, The Catholic University of Korea, 222 Banpodae-ro, Seocho-gu, Seoul, 06591, South Korea; Song, I.H., Department of Hospital Pathology, Seoul St. Mary’s Hospital, College of Medicine, The Catholic University of Korea, 222 Banpodae-ro, Seocho-gu, Seoul, 06591, South Korea; Lee, S.H., Department of Hospital Pathology, Seoul St. Mary’s Hospital, College of Medicine, The Catholic University of Korea, 222 Banpodae-ro, Seocho-gu, Seoul, 06591, South Korea","Lung cancer has one of the highest cancer mortality rates in the world and threatens people’s health. Timely and accurate diagnosis can greatly reduce the number of deaths. Therefore, an accurate diagnosis system is extremely important. The existing methods have achieved significant performances on lung cancer diagnosis, but they are insufficient in fine-grained representations. In this paper, we propose a novel attentive method to differentiate malignant and benign pulmonary nodules. Firstly, the residual attention network (RAN) and squeeze-and-excitation network (SEN) were utilized to extract spatial and contextual features. Secondly, a novel multi-scale attention network (MSAN) was proposed to capture multi-scale attention features automatically, and the MSAN integrated the advantages of the spatial attention mechanism and contextual attention mechanism, which are very important for capturing the salient features of nodules. Finally, the gradient boosting machine (GBM) algorithm was used to differentiate malignant and benign nodules. We conducted a series of experiments on the Lung Image Database Consortium image collection (LIDC-IDRI) database, achieving an accuracy of 91.9%, a sensitivity of 91.3%, a false positive rate of 8.0%, and an F1-score of 91.0%. The experimental results demonstrate that our proposed method outperforms the state-of-the-art methods with respect to accuracy, false positive rate, and F1-Score. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Computational pathology; Computer-aided diagnosis; Convolutional neural network; Digital pathology,,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099822099
"Lin C.-H., Lin C.-J., Li Y.-C., Wang S.-H.",Using generative adversarial networks and parameter optimization of convolutional neural networks for lung tumor classification,2021,Applied Sciences (Switzerland),11,2,480,1,17,6,10.3390/app11020480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099218394&doi=10.3390%2fapp11020480&partnerID=40&md5=bad116c59b9eda039eb1e84949793af1,"Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, 701, Taiwan; Department of Computer Science and Information Engineering, National Chin-Yi University of Technology, Taichung, 411, Taiwan; College of Intelligence, National Taichung University of Science and Technology, Taichung, 404, Taiwan; Intelligent Manufacturing Research Center, National Cheng Kung University, Tainan, 701, Taiwan","Lin, C.-H., Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, 701, Taiwan; Lin, C.-J., Department of Computer Science and Information Engineering, National Chin-Yi University of Technology, Taichung, 411, Taiwan, College of Intelligence, National Taichung University of Science and Technology, Taichung, 404, Taiwan; Li, Y.-C., Department of Computer Science and Information Engineering, National Chin-Yi University of Technology, Taichung, 411, Taiwan; Wang, S.-H., Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, 701, Taiwan, Intelligent Manufacturing Research Center, National Cheng Kung University, Tainan, 701, Taiwan","Chest imaging diagnostics is crucial in the medical area due to many serious lung diseases like cancers and nodules and particularly with the current pandemic of Covid-19. Machine learning approaches yield prominent results toward the task of diagnosis. Recently, deep learning methods are utilized and recommended by many studies in this domain. The research aims to critically examine the newest lung disease detection procedures using deep learning algorithms that use X-ray and CT scan datasets. Here, the most recent studies in this area (2015-2021) have been reviewed and summarized to provide an overview of the most appropriate methods that should be used or developed in future works, what limitations should be considered, and at what level these techniques help physicians in identifying the disease with better accuracy. The lack of various standard datasets, the huge training set, the high dimensionality of data, and the independence of features have been the main limitations based on the literature. However, different architectures of deep learning are used by many researchers but, Convolutional Neural Networks (CNN) are still state-of-art techniques in dealing with image datasets. © 2021. All Rights Reserved.",Convolutional neural network; Generative adversarial network; Image augmentation; Lung cancer; Parameter optimization,,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85099218394
"Xia K., Chi J., Gao Y., Jiang Y., Wu C.",Adaptive aggregated attention network for pulmonary nodule classification,2021,Applied Sciences (Switzerland),11,2,610,1,15,4,10.3390/app11020610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099212062&doi=10.3390%2fapp11020610&partnerID=40&md5=227ccdadd43663f60e8693d479a2a713,"Faculty of Robot Science and Engineering, Northeastern University, No. 195, Chuangxin Road, Shenyang, 110169, China","Xia, K., Faculty of Robot Science and Engineering, Northeastern University, No. 195, Chuangxin Road, Shenyang, 110169, China; Chi, J., Faculty of Robot Science and Engineering, Northeastern University, No. 195, Chuangxin Road, Shenyang, 110169, China; Gao, Y., Faculty of Robot Science and Engineering, Northeastern University, No. 195, Chuangxin Road, Shenyang, 110169, China; Jiang, Y., Faculty of Robot Science and Engineering, Northeastern University, No. 195, Chuangxin Road, Shenyang, 110169, China; Wu, C., Faculty of Robot Science and Engineering, Northeastern University, No. 195, Chuangxin Road, Shenyang, 110169, China","Early pulmonary nodule detection is very important in lung cancer diagnosis and screening. Most state-of-the-art lung nodule detection models are based on Faster Region-based Convolutional Neural Network (Faster R-CNN) due to its superior performance. However, this object detection approach faces difficulties with the variety of nodule sizes in training datasets. In this paper, we propose a novel Computer-Aided Detection (CAD) system based on Faster R-CNN model with adaptive anchor box for lung nodule detection. Our method employs ground-truth nodule sizes in the training dataset to generate adaptive anchor box sizes of Faster R-CNN. Learned anchors are used as hyper-parameter to boost Faster R-CNN's detection performance. A residual convolutional neural network is proposed to reduce false positives from Faster R-CNN's output. Our method is trained and tested on the largest publicly available LUNA16 dataset. Experiments show that our proposed system achieves a high sensitivity of 95.64% at 1.72 false positives per scan, and a Competition Performance Metric (CPM) score of 88.2%, which outperforms other recent state-of-the-art detection methods. The false positive reduction network achieves a sensitivity of 93.8%, specificity of 97.6% and accuracy of 95.7%. An additional evaluation on a completely independent SPIE-AAPM dataset demonstrates the generalization of our proposed model with 89.3% sensitivity. © 2013 IEEE.",3D dual path network; Attention network; Deep learning; Lung cancer diagnosis,,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099212062
"Saturi R., Premchand P.",Multi-Objective Feature Selection Method by Using ACO with PSO Algorithm for Breast Cancer Detection,2021,International Journal of Intelligent Engineering and Systems,14,5,,359,368,1,10.22266/ijies2021.1031.32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114715180&doi=10.22266%2fijies2021.1031.32&partnerID=40&md5=b07665aeaed5349d31030a4657a13613,"Department of Computer Science and Engineering, University College of Engineering, Osmania University, Hyderabad, India","Saturi, R., Department of Computer Science and Engineering, University College of Engineering, Osmania University, Hyderabad, India; Premchand, P., Department of Computer Science and Engineering, University College of Engineering, Osmania University, Hyderabad, India","The Pulmonary nodule indicates the presence of lung cancer. The deep convolutional neural networks (DCNNs) have been widely used to classify the pulmonary nodule as benign or malignant. However, an individual learner usually performs unsatisfactorily due to limited response space, incorrect selection of hypothesis space, or falling into local minimums. To investigate these issues, we propose ensemble learners fusion techniques based on averaging of prediction score and maximum vote score (MAX-VOTE). First, the support vector machine (SVM) and AdaBoostM2 machine learning algorithms are trained on the deep features from DCNNs. The results of both classifiers are fused separately based on averaging of the prediction score. Secondly, the feature fusion technique is developed by fusing the feature of three DCNNs (AlexNet, VGG-16 and VGG-19) through predefined rules. After that, the SVM and AdaBoostM2 are trained on fused features independently to build ensemble learners by fusing the multiple DCNN learners. The predictions of all DCNN learners are fused based on the MAX-VOTE. The results show that the ensemble learners based MAX-VOTE technique yields better performance out of twelve single learners for binary class classification of pulmonary nodules. The proposed fusion techniques are also tested for multi-class classification problem. The SVM based feature fusion technique performs better as compared to all the implemented and the state-of-the-art techniques. The achieved maximum accuracy, AUC and specificity scores are 96.89%±0.25, 99.21%±0.10 and 97.70%±0.21, respectively. © 2013 IEEE.",Ant colony optimization; Breast cancer; Computer-aided-diagnosis; Convolutional neural network; Histogram of gradients,,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85114715180
"Siddalingappa R., Kanagaraj S.",Anomaly Detection on Medical Images using Autoencoder and Convolutional Neural Network,2021,International Journal of Advanced Computer Science and Applications,12,7,,148,156,2,10.14569/IJACSA.2021.0120717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112244855&doi=10.14569%2fIJACSA.2021.0120717&partnerID=40&md5=246bca0bec4d7b7ee1cfaaf40b65bdc1,"Department of Computational and Data Science, Indian Institute of Science, C V Raman Road, Bangalore, 560012, India","Siddalingappa, R., Department of Computational and Data Science, Indian Institute of Science, C V Raman Road, Bangalore, 560012, India; Kanagaraj, S., Department of Computational and Data Science, Indian Institute of Science, C V Raman Road, Bangalore, 560012, India","Lung cancer causes the most cancer deaths worldwide and has one of the lowest five-year survival rates of all cancer types. It is reported that more than half of patients with lung cancer die within one year of being diagnosed. Because mediastinal lymph node status is the most important factor for the treatment and prognosis of lung cancer, the aim of this study is to improve the predictive value in assessing the computed tomography (CT) of mediastinal lymph-node malignancy in patients with primary lung cancer. This paper introduces a new method for creating pseudo-labeled images of CT regions of mediastinal lymph nodes by using the concept of recurrence analysis in nonlinear dynamics for the transfer learning. Pseudo-labeled images of original CT images are used as input into deep-learning models. Three popular pretrained convolutional neural networks (AlexNet, SqueezeNet, and DenseNet-201) were used for the implementation of the proposed concept for the classification of benign and malignant mediastinal lymph nodes using a public CT database. In comparison with the use of the original CT data, the results show the high performance of the transformed images for the task of classification. Three pretrained convolutional neural networks that are AlexNet, SqueezeNet, and DenseNet201 were trained and tested with the transformed images. Classification accuracies and areas under the receiver operating characteristic curve obtained from the ten-fold cross-validation are 93% and 0.97, 96% and 0.99, and 100% and 1 for the SqueezeNet, AlexNet, and DenseNet201, respectively. The proposed method has the potential for differentiating benign from malignant mediastinal lymph nodes on CT, and may provide a new way for studying lung cancer using radiology imaging. © 2013 IEEE.",Anomalies; autoencoder; convolutional neural networks (CNN) (ConvNets); deep neural network architecture; regularization,Anomaly detection; Biological organs; Computerized tomography; Convolution; Deep neural networks; Diagnosis; Diseases; Image enhancement; Mean square error; Medical imaging; Network architecture; Statistical tests; Anomaly; Anomaly detection; Auto encoders; Convnet; Convolutional neural network; Convolutional neural network (convnet); Deep neural network architecture; Mean squared error; Neural network architecture; Regularisation; Convolutional neural networks,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85112244855
"Jiang H., Tang S., Liu W., Zhang Y.",Deep learning for COVID-19 chest CT (computed tomography) image analysis: A lesson from lung cancer,2021,Computational and Structural Biotechnology Journal,19,,,1391,1399,7,10.1016/j.csbj.2021.02.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102363403&doi=10.1016%2fj.csbj.2021.02.016&partnerID=40&md5=7427e3ada96d4bfbd6da0373f19079cd,"College of Science, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong  518055, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan  610054, China; School of Computing and Engineering, University of Missouri-Kansas CityMO, United States; Department of Computer and Information Science, University of Macau, Macau, China","Jiang, H., College of Science, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong  518055, China, School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan  610054, China; Tang, S., School of Computing and Engineering, University of Missouri-Kansas CityMO, United States; Liu, W., College of Science, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong  518055, China, Department of Computer and Information Science, University of Macau, Macau, China; Zhang, Y., College of Science, Harbin Institute of Technology (Shenzhen), Shenzhen, Guangdong  518055, China","Detecting malignant pulmonary nodules at an early stage can allow medical interventions which may increase the survival rate of lung cancer patients. Using computer vision techniques to detect nodules can improve the sensitivity and the speed of interpreting chest CT for lung cancer screening. Many studies have used CNNs to detect nodule candidates. Though such approaches have been shown to outperform the conventional image processing based methods regarding the detection accuracy, CNNs are also known to be limited to generalize on under-represented samples in the training set and prone to imperceptible noise perturbations. Such limitations can not be easily addressed by scaling up the dataset or the models. In this work, we propose to add adversarial synthetic nodules and adversarial attack samples to the training data to improve the generalization and the robustness of the lung nodule detection systems. To generate hard examples of nodules from a differentiable nodule synthesizer, we use projected gradient descent (PGD) to search the latent code within a bounded neighbourhood that would generate nodules to decrease the detector response. To make the network more robust to unanticipated noise perturbations, we use PGD to search for noise patterns that can trigger the network to give over-confident mistakes. By evaluating on two different benchmark datasets containing consensus annotations from three radiologists, we show that the proposed techniques can improve the detection performance on real CT data. To understand the limitations of both the conventional networks and the proposed augmented networks, we also perform stress-tests on the false positive reduction networks by feeding different types of artificially produced patches. We show that the augmented networks are more robust to both under-represented nodules as well as resistant to noise perturbations. © 1982-2012 IEEE.",Chest CT image; Classification; COVID-19; CycleGAN; Image synthesis; Lung cancer; Style transfer,Biological organs; Computerized tomography; Deep neural networks; Image analysis; Image classification; Medical imaging; Statistical tests; Chest computed tomography image; Computed tomography images; COVID-19; Cyclegan; Images synthesis; Learning models; Lung Cancer; Style transfer; Synthesised; Tomography image analysis; Diseases; Article; computer assisted tomography; controlled study; coronavirus disease 2019; data base; data synthesis; deep learning; diagnostic accuracy; diagnostic test accuracy study; disease classification; human; image analysis; lung cancer; lung nodule; model; priority journal; scoring system,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102363403
"Ashhar S.M., Mokri S.S., Rahni A.A.A., Huddin A.B., Zulkarnain N., Azmi N.A., Mahaletchumy T.",Comparison of deep learning convolutional neural network (CNN) architectures for CT lung cancer classification,2021,International Journal of Advanced Technology and Engineering Exploration,8,74,,126,134,7,10.19101/IJATEE.2020.S1762126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101873065&doi=10.19101%2fIJATEE.2020.S1762126&partnerID=40&md5=e60ff0727ab9440e729093d9e94f535f,"Department of Electrical, Electronic and Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia UKM, Bangi, Selangor, 43600, Malaysia; Center of Diagnostic, Therapeutic and Investigation Studies (CODTIS), Faculty of Health Science, Universiti Kebangsaan Malaysia, Jalan Raja Muda Abdul Aziz, Kuala Lumpur, 50300, Malaysia; Center of Nuclear Imaging and Nuclear Medicine, UKM Medical Center, Jalan Ya'acob Latif, Bandar Tun Razak, Cheras Kuala Lumpur, 56000, Malaysia","Ashhar, S.M., Department of Electrical, Electronic and Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia UKM, Bangi, Selangor, 43600, Malaysia; Mokri, S.S., Department of Electrical, Electronic and Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia UKM, Bangi, Selangor, 43600, Malaysia; Rahni, A.A.A., Department of Electrical, Electronic and Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia UKM, Bangi, Selangor, 43600, Malaysia; Huddin, A.B., Department of Electrical, Electronic and Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia UKM, Bangi, Selangor, 43600, Malaysia; Zulkarnain, N., Department of Electrical, Electronic and Systems Engineering, Faculty of Engineering & Built Environment, Universiti Kebangsaan Malaysia UKM, Bangi, Selangor, 43600, Malaysia; Azmi, N.A., Center of Diagnostic, Therapeutic and Investigation Studies (CODTIS), Faculty of Health Science, Universiti Kebangsaan Malaysia, Jalan Raja Muda Abdul Aziz, Kuala Lumpur, 50300, Malaysia; Mahaletchumy, T., Center of Nuclear Imaging and Nuclear Medicine, UKM Medical Center, Jalan Ya'acob Latif, Bandar Tun Razak, Cheras Kuala Lumpur, 56000, Malaysia","Lung cancer follow-up is a complex, error prone, and time consuming task for clinical radiologists. Several lung CT scan images taken at different time points of a given patient need to be individually inspected, looking for possible cancerogenous nodules. Radiologists mainly focus their attention in nodule size, density, and growth to assess the existence of malignancy. In this study, we present a novel method based on a 3D siamese neural network, for the re-identification of nodules in a pair of CT scans of the same patient without the need for image registration. The network was integrated into a two-stage automatic pipeline to detect, match, and predict nodule growth given pairs of CT scans. Results on an independent test set reported a nodule detection sensitivity of 94.7%, an accuracy for temporal nodule matching of 88.8%, and a sensitivity of 92.0% with a precision of 88.4% for nodule growth detection. © 2020 Elsevier B.V.",Computed tomography; Convolution neural network; Deep learning; Lung cancer,,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85101873065
