Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A configurable deep learning framework for medical image analysis,Neural Computing and Applications,,34,10,10.1007/s00521-021-06873-z,Jianguo ChenNan YangMimi ZhouZhaolei ZhangXulei Yang,2022,http://link.springer.com/article/10.1007/s00521-021-06873-z,Article
Deep neural network correlation learning mechanism for CT brain tumor detection,Neural Computing and Applications,,,,10.1007/s00521-021-05841-x,Marcin WoźniakJakub SiłkaMichał Wieczorek,2021,http://link.springer.com/article/10.1007/s00521-021-05841-x,Article
Improving effectiveness of different deep learning-based models for detecting COVID-19 from computed tomography (CT) images,Neural Computing and Applications,,33,24,10.1007/s00521-021-06344-5,Erdi AcarEngin Şahinİhsan Yılmaz,2021,http://link.springer.com/article/10.1007/s00521-021-06344-5,Article
MEDAS: an open-source platform as a service to help break the walls between medicine and informatics,Neural Computing and Applications,,34,8,10.1007/s00521-021-06750-9,Liang ZhangJohann LiPing LiXiaoyuan LuMaoguo GongPeiyi ShenGuangming ZhuSyed Afaq ShahMohammed BennamounKun QianBjörn W. Schuller,2022,http://link.springer.com/article/10.1007/s00521-021-06750-9,Article
GA-UNet: UNet-based framework for segmentation of 2D and 3D medical images applicable on heterogeneous datasets,Neural Computing and Applications,,33,21,10.1007/s00521-021-06134-z,Amrita KaurLakhwinder KaurAshima Singh,2021,http://link.springer.com/article/10.1007/s00521-021-06134-z,Article
Detection of Schizophrenia in brain MR images based on segmented ventricle region and deep belief networks,Neural Computing and Applications,,31,9,10.1007/s00521-018-3360-1,Manohar LathaGanesan Kavitha,2019,http://link.springer.com/article/10.1007/s00521-018-3360-1,Article
Deep architectures for high-resolution multi-organ chest X-ray image segmentation,Neural Computing and Applications,,32,20,10.1007/s00521-019-04532-y,Oscar GómezPablo MesejoOscar IbáñezAndrea ValsecchiOscar Cordón,2020,http://link.springer.com/article/10.1007/s00521-019-04532-y,Article
Toward deep MRI segmentation for Alzheimer’s disease detection,Neural Computing and Applications,,34,2,10.1007/s00521-021-06430-8,Hadeer A. HelalyMahmoud BadawyAmira Y. Haikal,2022,http://link.springer.com/article/10.1007/s00521-021-06430-8,Article
"An intelligent disease prediction and monitoring system using feature selection, multi-neural network and fuzzy rules",Neural Computing and Applications,,34,22,10.1007/s00521-022-07527-4,V. Elizabeth JesiShabnam Mohamed Aslam,2022,http://link.springer.com/article/10.1007/s00521-022-07527-4,Article
Classification of Covid-19 chest X-ray images by means of an interpretable evolutionary rule-based approach,Neural Computing and Applications,,,,10.1007/s00521-021-06806-w,Ivanoe De FalcoGiuseppe De PietroGiovanna Sannino,2022,http://link.springer.com/article/10.1007/s00521-021-06806-w,Article
S. I: hybridization of neural computing with nature-inspired algorithms,Neural Computing and Applications,,33,17,10.1007/s00521-021-05884-0,Hari Mohan PandeyNik BessisNeeraj KumarAnkit Chaudhary,2021,http://link.springer.com/article/10.1007/s00521-021-05884-0,Article
