Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Joint Detection and Recognition Approach to Lung Cancer Diagnosis From CT Images With Label Uncertainty,L. Chenyang; S. -C. Chan,"Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong",IEEE Access,30-Dec-20,2020,8,,228905,228921,"Automatic lung cancer diagnosis from computer tomography (CT) images requires the detection of nodule location as well as nodule malignancy prediction. This article proposes a joint lung nodule detection and classification network for simultaneous lung nodule detection, segmentation and classification subject to possible label uncertainty in the training set. It operates in an end-to-end manner and provides detection and classification of nodules simultaneously together with a segmentation of the detected nodules. Both the nodule detection and classification subnetworks of the proposed joint network adopt a 3-D encoder-decoder architecture for better exploration of the 3-D data. Moreover, the classification subnetwork utilizes the features extracted from the detection subnetwork and multiscale nodule-specific features for boosting the classification performance. The former serves as valuable prior information for optimizing the more complicated 3D classification network directly to better distinguish suspicious nodules from other tissues compared with direct backpropagation from the decoder. Experimental results show that this co-training yields better performance on both tasks. The framework is validated on the LUNA16 and LIDC-IDRI datasets and a pseudo-label approach is proposed for addressing the label uncertainty problem due to inconsistent annotations/labels. Experimental results show that the proposed nodule detector outperforms the state-of-the-art algorithms and yields comparable performance as state-of-the-art nodule classification algorithms when classification alone is considered. Since our joint detection/recognition approach can directly detect nodules and classify its malignancy instead of performing the tasks separately, our approach is more practical for automatic cancer and nodules detection.",2169-3536,,10.1109/ACCESS.2020.3044941,Hong Kong Research Grant Council General Research Fund(grant numbers:GRF 17211320); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9294013,Deep learning;multi-task learning;nodule detection;nodule malignancy classification;label noise,Cancer;Computed tomography;Lung;Feature extraction;Training;Task analysis;Three-dimensional displays,backpropagation;cancer;computerised tomography;feature extraction;image classification;image segmentation;lung;medical image processing,CT images;automatic lung cancer diagnosis;computer tomography images;nodule location;nodule malignancy prediction;joint lung nodule detection;simultaneous lung nodule detection;classification subnetwork;3-D encoder-decoder architecture;multiscale nodule-specific features;pseudolabel approach;label uncertainty problem;nodule detector;state-of-the-art nodule classification algorithms;LIDC-IDRI datasets,,6,,60,CCBY,15-Dec-20,,,IEEE,IEEE Journals
Automatic Lung Nodule Detection Combined With Gaze Information Improves Radiologists’ Screening Performance,G. Aresta; C. Ferreira; J. Pedrosa; T. Araújo; J. Rebelo; E. Negrão; M. Morgado; F. Alves; A. Cunha; I. Ramos; A. Campilho,"Institute for Systems and Computer Engineering, Technology and Science (INESC TEC), Porto, Portugal; FEUP and INESC TEC, Porto, Portugal; INESC TEC, Porto, Portugal; FEUP and INESC TEC, Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; INESC TEC, University of Trás-os-Montes e Alto Douro (UTAD), Vila Real, Portugal; Faculty of Medicine of University of Porto (FMUP), Porto, Portugal; INESC TEC and FEUP, Porto, Portugal",IEEE Journal of Biomedical and Health Informatics,7-Oct-20,2020,24,10,2894,2901,"Early diagnosis of lung cancer via computed tomography can significantly reduce the morbidity and mortality rates associated with the pathology. However, searching lung nodules is a high complexity task, which affects the success of screening programs. Whilst computer-aided detection systems can be used as second observers, they may bias radiologists and introduce significant time overheads. With this in mind, this study assesses the potential of using gaze information for integrating automatic detection systems in the clinical practice. For that purpose, 4 radiologists were asked to annotate 20 scans from a public dataset while being monitored by an eye tracker device, and an automatic lung nodule detection system was developed. Our results show that radiologists follow a similar search routine and tend to have lower fixation periods in regions where finding errors occur. The overall detection sensitivity of the specialists was $\mathbf {0.67\pm 0.07}$, whereas the system achieved 0.69. Combining the annotations of one radiologist with the automatic system significantly improves the detection performance to similar levels of two annotators. Filtering automatic detection candidates only for low fixation regions still significantly improves the detection sensitivity without increasing the number of false-positives.",2168-2208,,10.1109/JBHI.2020.2976150,LNDetector; European Regional Development Fund; Operational Programme for Competitiveness - COMPETE 2020 Programme; National Fundus; Portuguese funding agency; Fundação para a Ciência e a Tecnologia(grant numbers:POCI-01-0145-FEDER-016673); FCT(grant numbers:SFRH/BD/120435/2016); FCT(grant numbers:SFRH/BD/146437/2019); FCT(grant numbers:SFRH/BD/122365/2016); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9007735,Lung cancer;computer-aided diagnosis;eye-tracking;deep learning;clinical environment,Lung;Cancer;Sensitivity;Computed tomography;Search problems;Informatics;Task analysis,cancer;computerised tomography;diagnostic radiography;lung;medical image processing,searching lung nodules;mortality rates;computed tomography;lung cancer;automatic detection candidates;detection performance;automatic system;detection sensitivity;automatic lung nodule detection system;eye tracker device;integrating automatic detection systems;gaze information;computer-aided detection systems,"Deep Learning;Eye-Tracking Technology;Fixation, Ocular;Humans;Lung Neoplasms;Radiographic Image Interpretation, Computer-Assisted;Radiologists;Tomography, X-Ray Computed",7,,26,IEEE,24-Feb-20,,,IEEE,IEEE Journals
A Lung Dense Deep Convolution Neural Network for Robust Lung Parenchyma Segmentation,Y. Chen; Y. Wang; F. Hu; D. Wang,"School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China",IEEE Access,28-May-20,2020,8,,93527,93547,"Lung parenchyma segmentation is the prerequisite for an automatic diagnosis system to analyze lung CT (computed tomography) images. However, traditional lung segmentation algorithms have poor adaptability and are not effectively robust regarding lung databases with blood vessels and small voids which can interfere the segmentation. The main work of this paper is as follows: Firstly, a lung dense deep convolutional neural network (LDDNet) is proposed, which adopts some popular optimizer methods, such as dense block, batch normalization (BN) and dropout. The performance of LDDNet is tested on the public lung database LIDC-IDRI which contains many cases of interference for segmentation. Secondly, the labeled with blood vessels and small voids are not contained by the public ground-truth masks of the LIDC-IDRI database, therefore these regions are labeled by us with LabelMe software. Thirdly, for the aim of exploring the effect of image preprocessing on segmenting lung CT images with deep neural network, contrast enhancing, median filtering and Laplacian filtering are used to preprocess the image as comparative experiments. Finally, dataset is classified into four classes by the geometrical shapes to test the performance of LDDNet. The accuracy of the segmentation experiment reaches over 99% and the four classes can all reach over 95%. Additionally, blood vessels and small voids are segmented out from the lung parenchyma which is not achieved by other methods. Experimental results confirm that the proposed LDDNet can segment the lung parenchymal area more accurately and has better robustness in comparison with other neural networks and most of the traditional methods.",2169-3536,,10.1109/ACCESS.2020.2993953,"National Natural Science Foundation of China(grant numbers:61762067,61662049,61867004); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9091318,Deep dense neural network;lung segmentation;robustness,Lung;Image segmentation;Computed tomography;Cancer;Clustering algorithms;Biomedical imaging;Neural networks,blood vessels;computerised tomography;convolutional neural nets;image classification;image filtering;image segmentation;learning (artificial intelligence);lung;median filters;medical image processing,LDDNet;blood vessels;voids;lung dense deep convolution neural network;robust lung parenchyma segmentation;lung CT images;public lung database;LIDC-IDRI database;batch normalization;public ground-truth masks;LabelMe software;contrast enhancing;median filtering;Laplacian filtering,,9,,44,CCBY,11-May-20,,,IEEE,IEEE Journals
Adaptive Local Ternary Pattern on Parameter Optimized-Faster Region Convolutional Neural Network for Pulmonary Emphysema Diagnosis,S. Mondal; A. K. Sadhu; P. K. Dutta,"School of Medical Science and Technology, Indian Institute of Technology Kharagpur, Kharagpur, India; EKO CT & MRI Scan Centre, Medical College and Hospital Campus, Kolkata, India; Department of Electrical Engineering, Indian Institute of Technology Kharagpur, Kharagpur, India",IEEE Access,20-Aug-21,2021,9,,114135,114152,"Emphysema is a lung disease that occurs due to abnormal alveoli expansion. This chronic disease causes difficulty in breathing which can lead to lung cancer. The progressive destruction of emphysema can be assessed by Computed Tomography (CT) scans and pulmonary function tests. The severity of the disease may extend to a stage where one can risk their life emphasizing the early detection of emphysema. Primary diagnosis can be done using spirometry and CT for early detection of the disease reducing the mortality rates. Difficulties associated with different diagnostic procedures and inter and intra-observer variations have made blooming researches on more computer-aided techniques. This paper intends to develop a computer-aided technique using the improved deep learning strategy. The initial process is image pre-processing, which is performed by histogram equalization and median filtering. Further, the Fuzzy C Means (FCM) clustering is used for segmentation. After segmentation, a new Adaptive Local Ternary Pattern (ALTP) is used for extracting the pattern descriptor, which is further utilized for classification. As a new contribution, the Parameter Optimized-Faster Region Convolutional Neural Network (PO-FRCNN) is developed for performing the diagnosis. The enhancement of pattern formation and deep classification is accomplished by the Improved Red Deer Algorithm (IRDA), which helps to tune the significant parameters that have a positive influence on the accurateness. The benchmark and real-time dataset are used for performing the experimentation. The results show that the proposed method yields the best result and can effectively diagnose emphysema when compared to state-of-the-art techniques.",2169-3536,,10.1109/ACCESS.2021.3105114,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9514591,Adaptive local ternary pattern;fuzzy C means clustering;modified deep learning;parameter optimized-faster region convolutional neural network;pulmonary emphysema,Lung;Computed tomography;Diseases;Feature extraction;Image segmentation;Lung cancer;Deep learning,cancer;computerised tomography;convolutional neural nets;deep learning (artificial intelligence);fuzzy set theory;image classification;image segmentation;lung;median filters;medical image processing;pattern clustering;pattern formation;pneumodynamics,pattern formation;pulmonary emphysema diagnosis;lung disease;abnormal alveoli expansion;chronic disease;lung cancer;computed tomography scans;pulmonary function tests;spirometry;intraobserver variations;computer-aided technique;deep learning strategy;adaptive local ternary pattern;parameter optimized-faster region convolutional neural network;interobserver variations;histogram equalization;median filtering;fuzzy C means clustering;image segmentation;deep classification;improved red deer algorithm,,3,,54,CCBYNCND,16-Aug-21,,,IEEE,IEEE Journals
Detection and Classification of Pulmonary Nodules Using Convolutional Neural Networks: A Survey,P. Monkam; S. Qi; H. Ma; W. Gao; Y. Yao; W. Qian,"Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Neusoft Research of Intelligent Healthcare Technology, Company, Ltd., Shenyang, China; Sino–Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, China; Shenzhen Qianhai AnyCheck Information Technology Co., Ltd., Shenzhen, China; Deparment of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; College of Engineering, University of Texas at El Paso, El Paso, USA",IEEE Access,24-Jun-19,2019,7,,78075,78091,"CT screening has been proven to be effective for diagnosing lung cancer at its early manifestation in the form of pulmonary nodules, thus decreasing the mortality. However, the exponential increase of image data makes their accurate assessment a very challenging task given that the number of radiologists is limited and they have been overworked. Recently, numerous methods, especially ones based on deep learning with convolutional neural network (CNN), have been developed to automatically detect and classify pulmonary nodules in medical images. In this paper, we present a comprehensive analysis of these methods and their performances. First, we briefly introduce the fundamental knowledge of CNN as well as the reasons for their suitability to medical images analysis. Then, a brief description of various medical images datasets, as well as the environmental setup essential for facilitating lung nodule investigations with CNNs, is presented. Furthermore, comprehensive overviews of recent progress in pulmonary nodule analysis using CNNs are provided. Finally, existing challenges and promising directions for further improving the application of CNN to medical images analysis and pulmonary nodule assessment, in particular, are discussed. It is shown that CNNs have transformed greatly the early diagnosis and management of lung cancer. We believe that this review will provide all the medical research communities with the necessary knowledge to master the concept of CNN so as to utilize it for improving the overall human healthcare system.",2169-3536,,10.1109/ACCESS.2019.2920980,"National Natural Science Foundation of China(grant numbers:81671773,61672146); Fundamental Research Funds for the Central Universities(grant numbers:N172008008); Open Program of Neusoft Research of Intelligent Healthcare Technology, Company, Ltd.(grant numbers:NRIHTOP1803); Pearl River Talent Plan of Guangdong Province(grant numbers:2017ZT07X261); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8736217,Lung cancer;deep learning;convolutional neural networks;computed tomography (CT) images;pulmonary nodules;image classification,Cancer;Lung;Computed tomography;Medical diagnostic imaging;Deep learning;Convolutional neural networks,cancer;computerised tomography;convolutional neural nets;image classification;learning (artificial intelligence);lung;medical image processing,human healthcare system;lung nodule;medical image datasets;medical image analysis;medical research communities;pulmonary nodule assessment;pulmonary nodule analysis;image data;lung cancer;convolutional neural network;pulmonary nodules,,48,,83,OAPA,13-Jun-19,,,IEEE,IEEE Journals
Lung Nodule Malignancy Prediction in Sequential CT Scans: Summary of ISBI 2018 Challenge,Y. Balagurunathan; A. Beers; M. Mcnitt-Gray; L. Hadjiiski; S. Napel; D. Goldgof; G. Perez; P. Arbelaez; A. Mehrtash; T. Kapur; E. Yang; J. W. Moon; G. B. Perez; R. Delgado-Gonzalo; M. M. Farhangi; A. A. Amini; R. Ni; X. Feng; A. Bagari; K. Vaidhya; B. Veasey; W. Safta; H. Frigui; J. Enguehard; A. Gholipour; L. S. Castillo; L. A. Daza; P. Pinsky; J. Kalpathy-Cramer; K. Farahani,"Department of Machine Learning, H Lee Moffitt Cancer Center (MCC) and Research Institute, Tampa, FL, USA; Massachusetts General Hospital (MGH), Boston, MA, USA; Thoracic Imaging Section, David Geffen School of Medicine, University of California at Los Angeles (UCLA), Los Angeles, CA, USA; Department of Radiology, University of Michigan (UMICH), Ann Arbor, MI, USA; Department of Radiology, School of Medicine, Stanford University (SU), Stanford, CA, USA; Department of Computer Science, University of South Florida (USF), Tampa, FL, USA; Biomedical Computer Vision Laboratory (BCV), Universidad de Los Andes, Bogota, Colombia; Biomedical Computer Vision Laboratory (BCV), Universidad de Los Andes, Bogota, Colombia; Department of Radiology, Surgical Planning Laboratory (SPL), Brigham and Women’s Faulkner Hospital, Boston, MA, USA; Department of Radiology, Surgical Planning Laboratory (SPL), Brigham and Women’s Faulkner Hospital, Boston, MA, USA; School of Medicine, Sungkyunkwan University, Seoul, South Korea; Human Medical Imaging and Intervention Center, Seoul, South Korea; Physense, Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain; Centre Suisse d’Électronique et de Microtechnique, Neuchâtel, Switzerland; Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA; Department of Electrical and Computer Engineering, University of Louisville, Louisville, KY, USA; Springbok Inc., Charlottesville, VA, USA; Department of Biomedical Engineering, University of Virginia, Charlottesville, VA, USA; Predible Health Inc., Bengaluru, India; Predible Health Inc., Bengaluru, India; Department of Electrical and Computer Engineering, University of Louisville, Louisville, KY, USA; Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA; Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA; Harvard Medical School, Boston, MA, USA; Harvard Medical School, Boston, MA, USA; Department of Biomedical Engineering, Universidad de los Andes, Bogota, Colombia; Department of Biomedical Engineering, Universidad de los Andes, Bogota, Colombia; Division of Cancer Prevention, Bethesda, MD, USA; Massachusetts General Hospital (MGH), Boston, MA, USA; Center for Biomedical Informatics and Information Technology, National Cancer Institute (NCI), Bethesda, MD, USA",IEEE Transactions on Medical Imaging,30-Nov-21,2021,40,12,3748,3761,"Lung cancer is by far the leading cause of cancer death in the US. Recent studies have demonstrated the effectiveness of screening using low dose CT (LDCT) in reducing lung cancer related mortality. While lung nodules are detected with a high rate of sensitivity, this exam has a low specificity rate and it is still difficult to separate benign and malignant lesions. The ISBI 2018 Lung Nodule Malignancy Prediction Challenge, developed by a team from the Quantitative Imaging Network of the National Cancer Institute, was focused on the prediction of lung nodule malignancy from two sequential LDCT screening exams using automated (non-manual) algorithms. We curated a cohort of 100 subjects who participated in the National Lung Screening Trial and had established pathological diagnoses. Data from 30 subjects were randomly selected for training and the remaining was used for testing. Participants were evaluated based on the area under the receiver operating characteristic curve (AUC) of nodule-wise malignancy scores generated by their algorithms on the test set. The challenge had 17 participants, with 11 teams submitting reports with method description, mandated by the challenge rules. Participants used quantitative methods, resulting in a reporting test AUC ranging from 0.698 to 0.913. The top five contestants used deep learning approaches, reporting an AUC between 0.87 – 0.91. The team’s predictor did not achieve significant differences from each other nor from a volume change estimate (p =.05 with Bonferroni-Holm’s correction).",1558-254X,,10.1109/TMI.2021.3097665,"National Cancer Institute(grant numbers:U01-CA200464,U01CA143062); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9486926,Lung cancer;nodules challenge;ISBI 2018;indeterminate pulmonary nodules;cancer detection in longitudinal CT;NLST;computed comography;deep learning methods in lung CT,Training;Lung;Deep learning;Lung cancer;Computed tomography;Biomedical imaging;Pathology,cancer;computerised tomography;image classification;image segmentation;lung;medical image processing,sequential CT scans;ISBI 2018 Challenge;cancer death;low dose CT;lung cancer related mortality;lung nodules;low specificity rate;benign lesions;malignant lesions;ISBI 2018 Lung Nodule Malignancy Prediction Challenge;Quantitative Imaging Network;National Cancer Institute;sequential LDCT screening exams;National Lung Screening Trial;nodule-wise malignancy scores;challenge rules;reporting test AUC,"Algorithms;Humans;Lung;Lung Neoplasms;ROC Curve;Solitary Pulmonary Nodule;Tomography, X-Ray Computed",4,,87,IEEE,15-Jul-21,,,IEEE,IEEE Journals
Nodule-Plus R-CNN and Deep Self-Paced Active Learning for 3D Instance Segmentation of Pulmonary Nodules,W. Wang; R. Feng; J. Chen; Y. Lu; T. Chen; H. Yu; D. Z. Chen; J. Wu,"Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China; Real Doctor AI Research Centre, Zhejiang University, Hangzhou, China",IEEE Access,18-Sep-19,2019,7,,128796,128805,"Accurate and automatic segmentation of pulmonary nodules in 3D thoracic Computed Tomography (CT) images is of great significance for Computer-Aided medical Diagnosis (CAD) of lung cancer. Currently, this important task remains challenging for lack of the voxel-level annotation and training strategies that balance target/background voxels in thoracic CT images. In this paper, a new region-based network, called Nodule-plus Region-based CNN, is proposed to detect pulmonary nodules in 3D thoracic CT images effectively while synchronously generating an instance segmentation mask for every detected instance. Our new network is constructed with a stack of convolutional blocks in which lateral connections are used to alleviate the difficulty of vanishing gradients. In addition, in order to reduce annotation workload and make best use of unannotated samples, we proposed a new Deep Self-paced Active Learning (DSAL) strategy by combining Active Learning (AL) and Self-Paced Learning (SPL) strategies. For the purpose of evaluating the performance of our proposed Nodule-plus R-CNN, we conduct a series of experiments on the public LIDC-IDRI dataset, and our model achieves 0.66 Dice and 0.96 TP Dice, which are state-of-the-art best results of pulmonary nodule segmentation. When the amount of available annotated samples is limited, our model trained with the DSAL strategy performs much better than that trained with the standard strategy.",2169-3536,,10.1109/ACCESS.2019.2939850,"National Natural Science Foundation of China(grant numbers:81700882,71804161); National Science Foundation(grant numbers:CCF-1617735); Zhejiang University(grant numbers:K18-511120-004,K17-518051-021); National Natural Science Foundation of China(grant numbers:61672453); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8826589,Pulmonary nodule segmentation;3D CT images;R-CNN;active learning;self-paced learning,Three-dimensional displays;Computed tomography;Image segmentation;Feature extraction;Training;Cancer;Lung,cancer;computerised tomography;convolutional neural nets;feature extraction;image classification;image segmentation;learning (artificial intelligence);lung;medical image processing,pulmonary nodules;thoracic CT images;instance segmentation mask;pulmonary nodule segmentation;3D instance segmentation;automatic segmentation;voxel-level annotation;region-based network;computed tomography images;computer-aided medical diagnosis;nodule-plus region-based CNN;nodule-plus R-CNN;deep self-paced active learning strategy;3D thoracic computed tomography images;lung cancer;LIDC-IDRI dataset,,11,,29,CCBY,6-Sep-19,,,IEEE,IEEE Journals
Multiple Resolution Residually Connected Feature Streams for Automatic Lung Tumor Segmentation From CT Images,J. Jiang; Y. -C. Hu; C. -J. Liu; D. Halpenny; M. D. Hellmann; J. O. Deasy; G. Mageras; H. Veeraraghavan,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Department of Nuclear Medicine, National Taiwan University Hospital Yunlin Branch, Douliou, Taiwan; Department of Radiology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Department of Medical Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA",IEEE Transactions on Medical Imaging,28-Dec-18,2019,38,1,134,144,"Volumetric lung tumor segmentation and accurate longitudinal tracking of tumor volume changes from computed tomography images are essential for monitoring tumor response to therapy. Hence, we developed two multiple resolution residually connected network (MRRN) formulations called incremental-MRRN and dense-MRRN. Our networks simultaneously combine features across multiple image resolution and feature levels through residual connections to detect and segment the lung tumors. We evaluated our method on a total of 1210 non-small cell (NSCLC) lung tumors and nodules from three data sets consisting of 377 tumors from the open-source Cancer Imaging Archive (TCIA), 304 advanced stage NSCLC treated with anti- PD-1 checkpoint immunotherapy from internal institution MSKCC data set, and 529 lung nodules from the Lung Image Database Consortium (LIDC). The algorithm was trained using 377 tumors from the TCIA data set and validated on the MSKCC and tested on LIDC data sets. The segmentation accuracy compared to expert delineations was evaluated by computing the dice similarity coefficient, Hausdorff distances, sensitivity, and precision metrics. Our best performing incremental-MRRN method produced the highest DSC of 0.74 ± 0.13 for TCIA, 0.75±0.12 for MSKCC, and 0.68±0.23 for the LIDC data sets. There was no significant difference in the estimations of volumetric tumor changes computed using the incremental-MRRN method compared with the expert segmentation. In summary, we have developed a multi-scale CNN approach for volumetrically segmenting lung tumors which enables accurate, automated identification of and serial measurement of tumor volumes in the lung.",1558-254X,,10.1109/TMI.2018.2857800,Breast Cancer Research Foundation; MSK Cancer Center Support(grant numbers:P30 CA008748); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417454,Deep learning;segmentation;longitudinal;lung cancer;detection,Image resolution;Tumors;Streaming media;Lung;Cancer;Feature extraction;Image segmentation,cancer;cellular biophysics;computerised tomography;feature extraction;image resolution;image segmentation;lung;medical image processing;radiation therapy;tumours,accurate longitudinal tracking;tumor volume changes;computed tomography images;multiple resolution residually connected network formulations;dense-MRRN;multiple image resolution;feature levels;nonsmall cell lung tumors;open-source Cancer Imaging Archive;internal institution MSKCC data;Lung Image Database Consortium;TCIA data;LIDC data sets;segmentation accuracy;volumetric tumor changes;expert segmentation;tumor volumes;tumor response;lung nodules;multiple resolution residually connected feature streams;antiPD-1 checkpoint immunotherapy;incremental-MRRN method;dice similarity coefficient;Hausdorff distances;precision metrics;volumetric lung tumor segmentation;CT images;automatic lung tumor segmentation,"Algorithms;Databases, Factual;Deep Learning;Humans;Image Interpretation, Computer-Assisted;Lung;Lung Neoplasms;Tomography, X-Ray Computed",123,,39,IEEE,23-Jul-18,,,IEEE,IEEE Journals
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Evaluate the Malignancy of Pulmonary Nodules Using the 3-D Deep Leaky Noisy-OR Network,F. Liao; M. Liang; Z. Li; X. Hu; S. Song,"School of Medicine, Tsinghua University, Beijing, China; Institute for Artificial Intelligence, Tsinghua University, Beijing, China; School of Medicine, Tsinghua University, Beijing, China; Institute for Artificial Intelligence, Tsinghua University, Beijing, China; School of Medicine, Tsinghua University, Beijing, China",IEEE Transactions on Neural Networks and Learning Systems,30-Oct-19,2019,30,11,3484,3495,"Automatic diagnosing lung cancer from computed tomography scans involves two steps: detect all suspicious lesions (pulmonary nodules) and evaluate the whole-lung/pulmonary malignancy. Currently, there are many studies about the first step, but few about the second step. Since the existence of nodule does not definitely indicate cancer, and the morphology of nodule has a complicated relationship with cancer, the diagnosis of lung cancer demands careful investigations on every suspicious nodule and integration of information of all nodules. We propose a 3-D deep neural network to solve this problem. The model consists of two modules. The first one is a 3-D region proposal network for nodule detection, which outputs all suspicious nodules for a subject. The second one selects the top five nodules based on the detection confidence, evaluates their cancer probabilities, and combines them with a leaky noisy-OR gate to obtain the probability of lung cancer for the subject. The two modules share the same backbone network, a modified U-net. The overfitting caused by the shortage of the training data is alleviated by training the two modules alternately. The proposed model won the first place in the Data Science Bowl 2017 competition.",2162-2388,,10.1109/TNNLS.2019.2892409,"National Natural Science Foundation of China(grant numbers:61836014,91420201,61621136008,61620106010); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8642524,3-D convolutional neural network (CNN);deep learning;nodule malignancy evaluation;noisy-OR model;pulmonary nodule detection,Cancer;Solid modeling;Noise measurement;Lung;Proposals;Task analysis;Object detection,cancer;computerised tomography;lung;medical image processing;neural nets;patient diagnosis;probability,pulmonary nodules;3-D deep leaky noisy;automatic diagnosing lung cancer;computed tomography scans;suspicious lesions;suspicious nodule;3-D deep neural network;3-D region proposal network;nodule detection;suspicious nodules;detection confidence;cancer probabilities;backbone network,"Diagnosis, Computer-Assisted;Humans;Imaging, Three-Dimensional;Lung Neoplasms;Neural Networks, Computer;Tomography, X-Ray Computed",198,,42,IEEE,14-Feb-19,,,IEEE,IEEE Journals
